start_time,end_time,duration_minutes
2023-01-13 06:00:00,2023-01-13 08:20:00,145
2023-02-25 22:40:00,2023-02-27 05:25:00,1755
2023-03-13 13:50:00,2023-03-14 06:15:00,990
2023-03-14 09:55:00,2023-03-15 11:30:00,1540
2023-04-23 17:15:00,2023-04-23 22:00:00,290
2023-05-08 10:15:00,2023-05-11 16:10:00,4530
2023-07-18 02:05:00,2023-07-20 21:20:00,3585
2023-07-28 22:25:00,2023-07-31 06:05:00,1935
2023-08-05 11:35:00,2023-08-06 23:20:00,2150
2023-08-08 00:55:00,2023-08-10 19:15:00,3985
2023-09-01 05:40:00,2023-09-02 08:45:00,1630
2023-12-15 15:50:00,2023-12-16 09:20:00,575
